ISBN,Title,Author,Publisher,Publication Year,Genre,Quantity
9780123456472,The Sarcasm Spectrum,Chandler Bing,Summit Books,2013,Biography,1
9780123456281,Winds of the Serengeti,Gina Linetti,Aether Press,2014,Biography,3
9780123456496,Strumming the Blues,Phoebe Buffay,Aether Press,2014,Biography,2
9780123456717,The White Wolf,Emhyr var Emreis,Apex Books,2015,Biography,1
9780123456205,The Botany of Dreams,Oliver Queen,Vanguard Press,2015,Biography,0
9780123456939,The Giant's Strength,Tormund Giantsbane,Horizon Publishing,2017,Biography,4
9780123456823,The Hand's Dilemma,Tyrion Lannister,Summit Books,2019,Biography,3
9780123456632,The Green Mile of Hope,Paul Edgecomb,Aether Press,2022,Biography,4
9780123456830,The Kingslayer's Vow,Jaime Lannister,Vanguard Press,2022,Biography,1
9780123456915,The Lady of Winterfell,Sansa Stark,Aether Press,2023,Biography,2
9780123456533,Blue Sky Horizons,Jesse Pinkman,Lumina Media,2023,Biography,1
9780123456465,Acting Outside the Box,Joey Tribbiani,Lumina Media,2024,Biography,3
9780123456342,Management of the Absurd,Ryan Howard,Vanguard Press,2012,Business,3
9780123456120,Principles of Progress,Arthur Pendelton,Summit Books,2014,Business,5
9780123456519,Lawyers and Legerdemain,Saul Goodman,Horizon Publishing,2015,Business,4
9780123456885,The Master of Coin,Petyr Baelish,Lumina Media,2016,Business,3
9780123456984,The Golden Company,Harry Strickland,Aether Press,2018,Business,0
9780123456724,The Nilfgaardian Tactics,Morvran Voorhis,Horizon Publishing,2020,Business,5
9780123456328,Salesmanship in the Wilderness,Pam Beesly,Lumina Media,2020,Business,0
9780123456373,The Golden Ticket Strategy,David Wallace,Horizon Publishing,2021,Business,2
9780123456236,Strategies for the Modern Leader,Rosa Diaz,Horizon Publishing,2021,Business,1
9780123456809,A Game of Thorns,Eddard Stark,Echo Literary Group,2011,Fantasy,0
9780123456199,Chronicles of the Iron Crown,Iris West,Summit Books,2011,Fantasy,2
9780123456656,Dark Tower of Babel,Roland Deschain,Horizon Publishing,2012,Fantasy,1
9780123456762,The Scoia'tael Freedom,Iorveth Wood,Vanguard Press,2014,Fantasy,3
9780123456304,Stardust and Stone,Dwight Schrute,Horizon Publishing,2018,Fantasy,5
9780123456151,Secrets of the Obsidian Tower,Zoe Washburne,Apex Books,2019,Fantasy,4
9780123456618,The Stand at Deep Creek,Stu Redman,Summit Books,2019,Fantasy,2
9780123456922,The Three-Eyed Vision,Bran Stark,Apex Books,2020,Fantasy,0
9780123456014,Whispers of the Alchemist,Julian Thorne,Apex Books,2021,Fantasy,2
9780123456694,The Ciri Chronicles,Cirilla Fiona,Vanguard Press,2021,Fantasy,4
9780123456953,The Lord of Light,Melisandre Asshai,Lumina Media,2022,Fantasy,1
9780123456786,The Elven Prophecy,Ida Emean,Apex Books,2023,Fantasy,5
9780123456663,Whispers of the Wind,Geralt of Rivia,Echo Literary Group,2023,Fantasy,5
9780123456816,The Dragon's Ascent,Daenerys Targaryen,Lumina Media,2024,Fantasy,4
9780123456670,The Sorceress's Mirror,Yennefer of Vengerberg,Lumina Media,2024,Fantasy,2
9780123456779,The Wild Hunt Legend,Eredin Breacc,Aether Press,2025,Fantasy,1
9780123456991,The Last Dragonrider,Aegon Targaryen,Apex Books,2026,Fantasy,4
9780123456892,The Iron Price,Balon Greyjoy,Summit Books,2012,Historical Fiction,1
9780123456649,The Shawshank Redemption Key,Andy Dufresne,Apex Books,2013,Historical Fiction,3
9780123456861,The Quiet Wolf,Ned Stark,Horizon Publishing,2013,Historical Fiction,0
9780123456083,The Forgotten Cartographer,Elena Rostova,Apex Books,2016,Historical Fiction,4
9780123456243,Shadows Over Shanghai,Terry Jeffords,Echo Literary Group,2016,Historical Fiction,5
9780123456588,Legends of the Bayou,Raylan Givens,Horizon Publishing,2017,Historical Fiction,3
9780123456700,Lessons from the Continent,Vesemir Kaer,Aether Press,2018,Historical Fiction,3
9780123456946,The Onion Knight's Tales,Davos Seaworth,Echo Literary Group,2019,Historical Fiction,3
9780123456113,The Silent Empress,Liam O'Connor,Lumina Media,2021,Historical Fiction,1
9780123456755,The Temerian Rebellion,Vernon Roche,Summit Books,2022,Historical Fiction,4
9780123456960,The Wall of Ice,Benjen Stark,Summit Books,2014,Mystery,5
9780123456625,Pet Sematary of Dreams,Louis Creed,Vanguard Press,2014,Mystery,0
9780123456854,The Red Wedding Mystery,Walder Frey,Apex Books,2015,Mystery,2
9780123456335,The Scranton Strangler Case,Toby Flenderson,Summit Books,2015,Mystery,4
9780123456106,Code of the Ancients,Nadia Petrov,Echo Literary Group,2017,Mystery,3
9780123456748,The Redanian Intelligence,Philippa Eilhart,Lumina Media,2017,Mystery,0
9780123456038,The Clockwork Conspiracy,Adrian Vance,Echo Literary Group,2019,Mystery,0
9780123456557,The Laundromat Diaries,Mike Ehrmantraut,Vanguard Press,2019,Mystery,2
9780123456250,The Memory Thief,Amy Santiago,Lumina Media,2020,Mystery,2
9780123456380,A Journey to the Deep Web,Angela Martin,Echo Literary Group,2024,Mystery,0
9780123456908,The Faceless Assassin,Arya Stark,Vanguard Press,2025,Mystery,5
9780123456441,Finding the Sweet Spot,Monica Geller,Horizon Publishing,2015,Romance,0
9780123456687,The Dandelion Ballads,Julian Alfred Pankratz,Summit Books,2016,Romance,0
9780123456595,The Coal Miner's Daughter,Ava Crowder,Echo Literary Group,2021,Romance,1
9780123456311,The Paper Airplane Theory,Jim Halpert,Echo Literary Group,2022,Romance,2
9780123456175,Love in the Digital Age,Penelope Cruz,Echo Literary Group,2022,Romance,1
9780123456489,Fashion Forward,Rachel Green,Vanguard Press,2022,Romance,5
9780123456359,Corporate Harmony,Kelly Kapoor,Aether Press,2023,Romance,1
9780123456021,Beneath the Neon Rain,Cora Sterling,Horizon Publishing,2015,Sci-Fi,5
9780123456229,The Glass Menagerie of Space,Raymond Holt,Apex Books,2017,Sci-Fi,3
9780123456007,The Midnight Horizon,Evelyn Vance,Aether Press,2018,Sci-Fi,4
9780123456601,Under the Dome of Stars,Chester Mill,Lumina Media,2020,Sci-Fi,5
9780123456410,The Server Room Chronicles,Bertram Gilfoyle,Vanguard Press,2021,Sci-Fi,1
9780123456090,Beyond the Shattered Sky,Devon Cole,Horizon Publishing,2022,Sci-Fi,0
9780123456045,Echoes of Tomorrow,Clara Montgomery,Lumina Media,2024,Sci-Fi,3
9780123456298,The Cybernetic Crucible,Michael Scott,Apex Books,2025,Sci-Fi,1
9780123456137,Starlight Odyssey,Diana Prince,Vanguard Press,2025,Sci-Fi,2
9780123456458,The Paleontologist's Diary,Ross Geller,Echo Literary Group,2011,Science,4
9780123456502,The Chemistry of Cooking,Walter White,Apex Books,2012,Science,0
9780123456427,Architecture of Virtual Spaces,Dinesh Chugtai,Aether Press,2016,Science,5
9780123456540,Minerals and Misconceptions,Hank Schrader,Summit Books,2016,Science,5
9780123456168,Curvature of Time,Dr. Alistair Finch,Horizon Publishing,2018,Science,3
9780123456403,Compression of Reality,Erlich Bachman,Summit Books,2018,Science,3
9780123456793,The Mage's Codex,Triss Merigold,Horizon Publishing,2020,Science,2
9780123456977,The Maester's Library,Samwell Tarly,Vanguard Press,2021,Science,2
9780123456076,Rhythms of the Cosmos,Silas Mercer,Aether Press,2023,Science,2
9780123456212,Quantum Leap of Faith,Felicity Smoak,Aether Press,2024,Science,4
9780123456564,Breakfast of Champions,Walter White Jr,Aether Press,2011,Self-Help,0
9780123456366,Beet Farming for Beginners,Mose Schrute,Apex Books,2019,Self-Help,5
9780123456267,Navigating the Inner Wild,Charles Boyle,Summit Books,2019,Self-Help,0
9780123456144,The Art of Unlearning,Gavin Hayes,Aether Press,2020,Self-Help,0
9780123456434,The Code of Honor,Jared Dunn,Apex Books,2020,Self-Help,2
9780123456052,Chasing Shadows,Marcus Blackwell,Summit Books,2012,Thriller,1
9780123456274,The Last Stand at Crimson Ridge,Jake Peralta,Vanguard Press,2013,Thriller,4
9780123456397,The Great Silicon Valley Heist,Richard Hendricks,Lumina Media,2017,Thriller,4
9780123456526,The Silent Cartel,Gustavo Fring,Echo Literary Group,2018,Thriller,3
9780123456878,The Spider's Web,Varys Whispers,Echo Literary Group,2018,Thriller,4
9780123456731,Of Swords and Sorcery,Sigismund Dijkstra,Echo Literary Group,2019,Thriller,2
9780123456069,The Last Cipher,Fiona Gallagher,Vanguard Press,2020,Thriller,5
9780123456847,The Winterfell Protocol,Jon Snow,Aether Press,2021,Thriller,5
9780123456182,The Rogue Algorithm,Victor Stone,Lumina Media,2023,Thriller,5
9780123456571,The Texas Ranger,Cordell Walker,Apex Books,2025,Thriller,4
